2017-01-17 14:45:09,422 - INFO	 - 6400	 - Mosaic	 - __init__: Resulting image will be saved to ./panda_result.jpg
2017-01-17 14:45:09,422 - DEBUG	 - 6400	 - Mosaic	 - get_crop_size: Cropsize determined as 8 px
2017-01-17 14:45:09,423 - INFO	 - 6400	 - Mosaic	 - __init__: Created output image with 1080/780 px
2017-01-17 14:45:09,423 - INFO	 - 6400	 - Mosaic	 - start: Starting mosaic creation
2017-01-17 14:45:09,667 - DEBUG	 - 8040	 - Worker	 - __init__: 27/19 tiles, 513 in total
2017-01-17 14:45:09,668 - INFO	 - 8040	 - Worker	 - __init__: Output image created with 540/380 px
2017-01-17 14:45:09,668 - INFO	 - 8040	 - Worker	 - mosaic: Mosaic creation started
2017-01-17 14:45:09,679 - DEBUG	 - 572	 - Worker	 - __init__: 27/19 tiles, 513 in total
2017-01-17 14:45:09,679 - INFO	 - 572	 - Worker	 - __init__: Output image created with 540/380 px
2017-01-17 14:45:09,679 - INFO	 - 572	 - Worker	 - mosaic: Mosaic creation started
2017-01-17 14:45:09,685 - DEBUG	 - 5400	 - Worker	 - __init__: 27/20 tiles, 540 in total
2017-01-17 14:45:09,686 - INFO	 - 5400	 - Worker	 - __init__: Output image created with 540/400 px
2017-01-17 14:45:09,686 - INFO	 - 5400	 - Worker	 - mosaic: Mosaic creation started
2017-01-17 14:45:09,706 - DEBUG	 - 6920	 - Worker	 - __init__: 27/20 tiles, 540 in total
2017-01-17 14:45:09,706 - INFO	 - 6920	 - Worker	 - __init__: Output image created with 540/400 px
2017-01-17 14:45:09,706 - INFO	 - 6920	 - Worker	 - mosaic: Mosaic creation started
2017-01-17 14:45:10,196 - DEBUG	 - 8040	 - Worker	 - get_match: Found 12 matches for tile.
2017-01-17 14:45:10,196 - DEBUG	 - 8040	 - Worker	 - mosaic: 1/513 Match found at J:\Mosaic\database\megadeth-41.png with a difference of 62
2017-01-17 14:45:10,216 - DEBUG	 - 5400	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:10,216 - DEBUG	 - 5400	 - Worker	 - mosaic: 1/540 Match found at J:\Mosaic\database\derek-&-the-dominos-2.png with a difference of 50
2017-01-17 14:45:10,232 - DEBUG	 - 572	 - Worker	 - get_match: Found 13 matches for tile.
2017-01-17 14:45:10,232 - DEBUG	 - 572	 - Worker	 - mosaic: 1/513 Match found at J:\Mosaic\database\stereophonics-6.png with a difference of 61
2017-01-17 14:45:10,253 - DEBUG	 - 6920	 - Worker	 - get_match: Found 5 matches for tile.
2017-01-17 14:45:10,253 - DEBUG	 - 6920	 - Worker	 - mosaic: 1/540 Match found at J:\Mosaic\database\afi-5.png with a difference of 65
2017-01-17 14:45:10,743 - DEBUG	 - 5400	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:10,743 - DEBUG	 - 5400	 - Worker	 - mosaic: 2/540 Match found at J:\Mosaic\database\survivor-2.png with a difference of 58
2017-01-17 14:45:10,745 - DEBUG	 - 8040	 - Worker	 - get_match: Found 11 matches for tile.
2017-01-17 14:45:10,745 - DEBUG	 - 8040	 - Worker	 - mosaic: 2/513 Match found at J:\Mosaic\database\the-byrds-1.png with a difference of 59
2017-01-17 14:45:10,753 - DEBUG	 - 572	 - Worker	 - get_match: Found 10 matches for tile.
2017-01-17 14:45:10,753 - DEBUG	 - 572	 - Worker	 - mosaic: 2/513 Match found at J:\Mosaic\database\k.m.f.d.m.-19.png with a difference of 88
2017-01-17 14:45:10,828 - DEBUG	 - 6920	 - Worker	 - get_match: Found 6 matches for tile.
2017-01-17 14:45:10,829 - DEBUG	 - 6920	 - Worker	 - mosaic: 2/540 Match found at J:\Mosaic\database\cyndi-lauper-&-tony-bennett-11.png with a difference of 55
2017-01-17 14:45:11,259 - DEBUG	 - 8040	 - Worker	 - get_match: Found 9 matches for tile.
2017-01-17 14:45:11,259 - DEBUG	 - 8040	 - Worker	 - mosaic: 3/513 Match found at J:\Mosaic\database\megadeth-41.png with a difference of 53
2017-01-17 14:45:11,273 - DEBUG	 - 5400	 - Worker	 - get_match: Found 11 matches for tile.
2017-01-17 14:45:11,273 - DEBUG	 - 5400	 - Worker	 - mosaic: 3/540 Match found at J:\Mosaic\database\santana-feat.-everlast-7.png with a difference of 38
2017-01-17 14:45:11,274 - DEBUG	 - 572	 - Worker	 - get_match: Found 13 matches for tile.
2017-01-17 14:45:11,274 - DEBUG	 - 572	 - Worker	 - mosaic: 3/513 Match found at J:\Mosaic\database\dream-theater-13.png with a difference of 62
2017-01-17 14:45:11,360 - DEBUG	 - 6920	 - Worker	 - get_match: Found 6 matches for tile.
2017-01-17 14:45:11,360 - DEBUG	 - 6920	 - Worker	 - mosaic: 3/540 Match found at J:\Mosaic\database\willie-nelson-37.png with a difference of 69
