Mon Dec 19 01:45:22 2016    ./stats/16-12-18_win

         22426 function calls (21868 primitive calls) in 4542.243 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21 4528.839  215.659 4528.839  215.659 {method 'acquire' of '_thread.lock' objects}
        5   11.372    2.274   11.372    2.274 {method 'encode_to_file' of 'ImagingEncoder' objects}
       10    1.021    0.102    1.021    0.102 {built-in method _winapi.WaitForSingleObject}
        1    0.458    0.458    0.458    0.458 {built-in method PIL._imaging.fill}
        4    0.294    0.073    0.294    0.073 {method 'paste' of 'ImagingCore' objects}
        1    0.152    0.152 4542.243 4542.243 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:22(__init__)
        4    0.017    0.004    0.017    0.004 {built-in method _winapi.CreateProcess}
      249    0.013    0.000    0.013    0.000 {built-in method nt.stat}
       44    0.012    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:816(get_data)
        4    0.006    0.001    0.006    0.001 {built-in method nt.remove}
       44    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
        5    0.005    0.001    0.005    0.001 {method 'close' of '_io.BufferedRandom' objects}
        3    0.005    0.002    0.005    0.002 {built-in method _thread.start_new_thread}
        6    0.004    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
       10    0.004    0.000    0.004    0.000 {built-in method io.open}
      150    0.002    0.000    0.004    0.000 {built-in method builtins.__build_class__}
        1    0.002    0.002    0.002    0.002 {method 'decode' of 'ImagingDecoder' objects}
     49/1    0.002    0.000 4542.369 4542.369 {built-in method builtins.exec}
      151    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
      110    0.001    0.000    0.001    0.000 {built-in method winreg.OpenKey}
       16    0.001    0.000    0.001    0.000 {built-in method _winapi.OpenProcess}
       44    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
      737    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
      737    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
        9    0.001    0.000    0.003    0.000 {method 'dump' of '_pickle.Pickler' objects}
      763    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
      972    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       59    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:879(_find_spec)
      136    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00000000553ADE40}
      595    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
     61/9    0.000    0.000    0.061    0.007 <frozen importlib._bootstrap>:966(_find_and_load)
       44    0.000    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:729(get_code)
       55    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
     16/4    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:491(_parse)
       62    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
       88    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
      598    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:226(__next)
     1567    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       22    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\abc.py:132(__new__)
      749    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
      853    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.021    0.005 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\popen_spawn_win32.py:33(__init__)
       54    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
     54/9    0.000    0.000    0.058    0.006 <frozen importlib._bootstrap>:659(_load_unlocked)
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:598(_search_registry)
     61/9    0.000    0.000    0.061    0.007 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
       82    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:36(__init__)
        4    0.000    0.000    0.000    0.000 {method 'crop' of 'ImagingCore' objects}
        5    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:94(acquire)
      537    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:247(get)
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:119(release)
       10    0.000    0.000    0.000    0.000 {method 'flush' of '_io.BufferedRandom' objects}
     44/9    0.000    0.000    0.058    0.006 <frozen importlib._bootstrap_external>:659(exec_module)
      245    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:68(_path_stat)
     32/4    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_compile.py:64(_compile)
    27/23    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\abc.py:194(__subclasscheck__)
   152/41    0.000    0.000    0.055    0.001 <frozen importlib._bootstrap>:996(_handle_fromlist)
      132    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.new}
        8    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\queues.py:334(__getstate__)
      380    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
