Mon Dec 19 10:35:29 2016    ./stats/16-12-18_win

         22431 function calls (21873 primitive calls) in 1512.356 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21 1508.059   71.812 1508.059   71.812 {method 'acquire' of '_thread.lock' objects}
        5    3.117    0.623    3.117    0.623 {method 'encode_to_file' of 'ImagingEncoder' objects}
       10    0.795    0.080    0.795    0.080 {built-in method _winapi.WaitForSingleObject}
        1    0.160    0.160    0.160    0.160 {built-in method PIL._imaging.fill}
        4    0.099    0.025    0.099    0.025 {method 'paste' of 'ImagingCore' objects}
        1    0.044    0.044 1512.356 1512.356 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:22(__init__)
        4    0.017    0.004    0.017    0.004 {built-in method _winapi.CreateProcess}
      249    0.013    0.000    0.013    0.000 {built-in method nt.stat}
       44    0.006    0.000    0.006    0.000 {built-in method marshal.loads}
        4    0.003    0.001    0.003    0.001 {built-in method nt.remove}
        6    0.003    0.000    0.004    0.001 {built-in method _imp.create_dynamic}
      150    0.002    0.000    0.004    0.000 {built-in method builtins.__build_class__}
     49/1    0.002    0.000 1512.396 1512.396 {built-in method builtins.exec}
       44    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:816(get_data)
       10    0.002    0.000    0.002    0.000 {built-in method io.open}
      151    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
      110    0.001    0.000    0.001    0.000 {built-in method winreg.OpenKey}
       44    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.001    0.001    0.001    0.001 {method 'decode' of 'ImagingDecoder' objects}
        5    0.001    0.000    0.001    0.000 {method 'close' of '_io.BufferedRandom' objects}
      737    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
      737    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
      763    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
        9    0.001    0.000    0.001    0.000 {method 'dump' of '_pickle.Pickler' objects}
       59    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:879(_find_spec)
      136    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x000000001E1BDE40}
      972    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
       44    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:419(_validate_bytecode_header)
       55    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1101(_get_spec)
      595    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     61/9    0.000    0.000    0.051    0.006 <frozen importlib._bootstrap>:966(_find_and_load)
       44    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:729(get_code)
     16/4    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:491(_parse)
       88    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:246(cache_from_source)
      749    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:366(_verbose_message)
       62    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(_get_module_lock)
     1567    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      853    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:56(_path_split)
        4    0.000    0.000    0.019    0.005 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\multiprocessing\popen_spawn_win32.py:33(__init__)
      598    0.000    0.000    0.000    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\sre_parse.py:226(__next)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
       54    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:510(_init_module_attrs)
     54/9    0.000    0.000    0.048    0.005 <frozen importlib._bootstrap>:659(_load_unlocked)
     61/9    0.000    0.000    0.050    0.006 <frozen importlib._bootstrap>:939(_find_and_load_unlocked)
       22    0.000    0.000    0.001    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\abc.py:132(__new__)
       55    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:598(_search_registry)
