Mon Dec 19 10:50:52 2016    ./stats/16-12-18_win

         22521 function calls (21963 primitive calls) in 668.390 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       21  666.680   31.747  666.680   31.747 {method 'acquire' of '_thread.lock' objects}
        5    1.387    0.277    1.387    0.277 {method 'encode_to_file' of 'ImagingEncoder' objects}
       10    0.097    0.010    0.097    0.010 {built-in method _winapi.WaitForSingleObject}
        1    0.071    0.071    0.071    0.071 {built-in method PIL._imaging.fill}
        4    0.044    0.011    0.044    0.011 {method 'paste' of 'ImagingCore' objects}
        1    0.018    0.018  668.390  668.390 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:22(__init__)
        4    0.017    0.004    0.017    0.004 {built-in method _winapi.CreateProcess}
      249    0.013    0.000    0.013    0.000 {built-in method nt.stat}
       44    0.012    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:816(get_data)
       44    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
        6    0.004    0.001    0.005    0.001 {built-in method _imp.create_dynamic}
        4    0.003    0.001    0.003    0.001 {built-in method nt.remove}
       10    0.002    0.000    0.002    0.000 {built-in method io.open}
      150    0.002    0.000    0.004    0.000 {built-in method builtins.__build_class__}
     49/1    0.002    0.000  668.407  668.407 {built-in method builtins.exec}
      151    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
      110    0.001    0.000    0.001    0.000 {built-in method winreg.OpenKey}
       44    0.001    0.000    0.001    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.001    0.001    0.001    0.001 {method 'decode' of 'ImagingDecoder' objects}
        5    0.001    0.000    0.001    0.000 {method 'close' of '_io.BufferedRandom' objects}
      737    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:50(_path_join)
      737    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(<listcomp>)
