Mon Dec 19 16:24:38 2016    ./stats/16-12-19_win_single_worker

         1724992490 function calls (1724992199 primitive calls) in 1815.913 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
809376000  562.255    0.000  562.255    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:425(<genexpr>)
202344000  553.697    0.000 1197.676    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:416(hex2rgb)
101172000  289.150    0.000 1536.197    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:393(difference)
     3000  117.822    0.039 1725.044    0.575 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:303(get_match)
202344001   66.240    0.000   66.240    0.000 {method 'lstrip' of 'str' objects}
101199636   60.169    0.000   60.169    0.000 {method 'get' of 'lxml.etree._Element' objects}
    30002   52.980    0.002   52.980    0.002 {method 'decode' of 'ImagingDecoder' objects}
101220297   49.393    0.000   49.393    0.000 {built-in method math.sqrt}
     3000   27.971    0.009   27.971    0.009 {method 'resize' of 'ImagingCore' objects}
202387318/202387303   15.493    0.000   15.493    0.000 {built-in method builtins.len}
  2895000    8.885    0.000    8.885    0.000 {method 'getchildren' of 'lxml.etree._Element' objects}
   108459    4.658    0.000    4.658    0.000 {method 'read' of '_io.BufferedReader' objects}
     3002    1.345    0.000    1.345    0.000 {built-in method io.open}
    15000    0.888    0.000   85.744    0.006 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1775(thumbnail)
     9000    0.389    0.000   56.589    0.006 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:120(load)
     3000    0.233    0.000   84.842    0.028 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1523(resize)
    30001    0.232    0.000    3.027    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:588(load_read)
    12000    0.216    0.000    0.844    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:63(kmeans)
    33854    0.182    0.000    0.182    0.000 {method 'tell' of '_io.BufferedReader' objects}
    33854    0.171    0.000    0.171    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     6003    0.156    0.000    0.156    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    33854    0.151    0.000    0.625    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:107(read)
    48297    0.123    0.000    0.123    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:48(<listcomp>)
    15540    0.108    0.000    0.141    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:52(calculate_center)
     6003    0.106    0.000    0.280    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:243(__init__)
    21001    0.102    0.000    0.155    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:520(_new)
    48297    0.088    0.000    0.250    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:46(euclidean)
        1    0.074    0.074   90.285   90.285 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:379(build_output)
    39185    0.071    0.000    0.071    0.000 {built-in method builtins.hasattr}
    15000    0.068    0.000    0.183    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1017(crop)
    39854    0.066    0.000    0.116    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\_binary.py:56(i32be)
        1    0.062    0.062 1815.823 1815.823 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:333(mosaic)
    27003    0.061    0.000    0.061    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:500(__init__)
    12000    0.061    0.000    0.177    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\random.py:280(sample)
     6003    0.058    0.000    0.058    0.000 {built-in method time.strftime}
     6000    0.053    0.000    0.053    0.000 {method 'paste' of 'ImagingCore' objects}
    47584    0.052    0.000    0.052    0.000 {built-in method _struct.unpack}
     3001    0.052    0.000    0.465    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:2293(_open_core)
    45001    0.051    0.000    0.078    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:752(load)
        1    0.050    0.050    0.057    0.057 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:427(get_library)
    30059    0.048    0.000    0.048    0.000 {built-in method builtins.min}
    69212    0.045    0.000    0.109    0.000 {built-in method builtins.isinstance}
     3001    0.044    0.000    0.044    0.000 {built-in method PIL._imaging.fill}
     3001    0.043    0.000    0.043    0.000 {built-in method PIL._imaging.new}
     6000    0.042    0.000    0.182    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1264(paste)
    48000    0.041    0.000    0.041    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:9(<genexpr>)
    12000    0.040    0.000    0.116    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:12(get_points)
    12000    0.039    0.000    1.023    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:30(colorz2)
     6003    0.038    0.000    0.074    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:197(split)
    24000    0.036    0.000    0.065    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\abc.py:178(__instancecheck__)
     3000    0.035    0.000    0.340    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:520(_open)
     3000    0.035    0.000    0.191    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Mosaic.py:285(get_quadrants)
    12006    0.034    0.000    0.068    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    14559    0.033    0.000    0.999    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1257(debug)
     3001    0.032    0.000    4.334    0.001 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:2247(open)
     6003    0.032    0.000    0.075    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1347(findCaller)
    24545    0.030    0.000    0.030    0.000 {built-in method builtins.max}
    36013    0.029    0.000    0.029    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:70(__contains__)
     6853    0.029    0.000    0.168    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:132(call)
    15000    0.028    0.000    0.028    0.000 {method 'crop' of 'ImagingCore' objects}
      853    0.028    0.000    0.028    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    42000    0.027    0.000    0.027    0.000 {method 'pixel_access' of 'ImagingCore' objects}
    12208    0.026    0.000    0.068    0.000 {method 'join' of 'str' objects}
     6003    0.025    0.000    0.105    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:487(formatTime)
    65156    0.025    0.000    0.025    0.000 {built-in method __new__ of type object at 0x000000001D63DE40}
     6003    0.025    0.000    0.185    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:554(format)
