Sun Dec 18 17:41:02 2016    ./stats/stats_2_logging_win

         1282242192 function calls (1282241898 primitive calls) in 1303.316 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
142045488  367.066    0.000  786.993    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:301(hex2rgb)
568181952  365.988    0.000  365.988    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:306(<genexpr>)
 71022744  196.001    0.000 1018.734    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:287(difference)
     2106  142.846    0.068 1211.916    0.575 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:115(get_match)
    49877   65.542    0.001   65.542    0.001 {method 'decode' of 'ImagingDecoder' objects}
142045489   44.233    0.000   44.233    0.000 {method 'lstrip' of 'str' objects}
 71044007   38.812    0.000   38.812    0.000 {method 'get' of 'lxml.etree._Element' objects}
 71074914   35.761    0.000   35.761    0.000 {built-in method math.sqrt}
     2106   21.549    0.010   21.549    0.010 {method 'resize' of 'ImagingCore' objects}
142069918/142069903    9.708    0.000    9.708    0.000 {built-in method builtins.len}
 71105817    6.212    0.000    6.212    0.000 {method 'append' of 'list' objects}
  2032290    4.268    0.000    4.268    0.000 {method 'getchildren' of 'lxml.etree._Element' objects}
   162429    1.246    0.000    1.246    0.000 {method 'read' of '_io.BufferedReader' objects}
    10530    0.577    0.000   89.961    0.009 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1775(thumbnail)
     2108    0.251    0.000    0.251    0.000 {built-in method io.open}
     6318    0.236    0.000   67.688    0.011 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:120(load)
     8424    0.192    0.000    0.732    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:63(kmeans)
    49875    0.190    0.000    1.808    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:588(load_read)
    52548    0.132    0.000    0.132    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
    52170    0.128    0.000    0.128    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:48(<listcomp>)
    52548    0.125    0.000    0.466    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:107(read)
    52548    0.118    0.000    0.118    0.000 {method 'tell' of '_io.BufferedReader' objects}
     2106    0.115    0.000   89.375    0.042 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1523(resize)
    13195    0.105    0.000    0.131    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:52(calculate_center)
    52170    0.085    0.000    0.249    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:46(euclidean)
     2106    0.070    0.000    0.070    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     2107    0.067    0.000    0.067    0.000 {built-in method PIL._imaging.fill}
        1    0.057    0.057 1303.201 1303.201 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:194(mosaic2)
    14743    0.055    0.000    0.086    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:520(_new)
     4212    0.054    0.000    0.054    0.000 {method 'paste' of 'ImagingCore' objects}
    56760    0.054    0.000    0.084    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\_binary.py:56(i32be)
        1    0.050    0.050    0.057    0.057 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:314(get_library)
    10530    0.046    0.000    0.125    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1017(crop)
     8424    0.041    0.000    0.115    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\random.py:280(sample)
     2106    0.037    0.000    0.101    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:243(__init__)
        1    0.037    0.037   90.744   90.744 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:277(build_output)
    21236    0.036    0.000    0.036    0.000 {built-in method builtins.hasattr}
    62117    0.032    0.000    0.032    0.000 {built-in method _struct.unpack}
    18957    0.032    0.000    0.032    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:500(__init__)
     2107    0.031    0.000    0.031    0.000 {built-in method builtins.print}
    49933    0.031    0.000    0.031    0.000 {built-in method builtins.min}
     8424    0.030    0.000    0.084    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:12(get_points)
    31591    0.030    0.000    0.044    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:752(load)
     2107    0.029    0.000    0.304    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:2293(_open_core)
     8424    0.026    0.000    0.858    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:30(colorz2)
    33696    0.026    0.000    0.026    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:9(<genexpr>)
     2107    0.025    0.000    0.025    0.000 {built-in method PIL._imaging.new}
    40214    0.025    0.000    0.067    0.000 {built-in method builtins.isinstance}
     2106    0.024    0.000    0.237    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:520(_open)
     4212    0.023    0.000    0.120    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1264(paste)
    16848    0.023    0.000    0.042    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\abc.py:178(__instancecheck__)
    10530    0.023    0.000    0.023    0.000 {method 'crop' of 'ImagingCore' objects}
     2106    0.022    0.000    0.022    0.000 {built-in method time.strftime}
     2106    0.021    0.000    0.126    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:101(get_quadrants)
     4779    0.020    0.000    0.117    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:132(call)
      567    0.019    0.000    0.019    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    25285    0.019    0.000    0.019    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\_weakrefset.py:70(__contains__)
    57648    0.019    0.000    0.019    0.000 {built-in method __new__ of type object at 0x000000001D4DDE40}
     2107    0.018    0.000    0.664    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:2247(open)
    17409    0.018    0.000    0.018    0.000 {built-in method builtins.max}
    52170    0.016    0.000    0.016    0.000 {built-in method builtins.sum}
     2106    0.016    0.000    0.028    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:197(split)
     8632    0.016    0.000    0.042    0.000 {method 'join' of 'str' objects}
     8019    0.016    0.000    0.398    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1257(debug)
     8424    0.014    0.000    0.056    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:9(<lambda>)
    29484    0.014    0.000    0.014    0.000 {method 'pixel_access' of 'ImagingCore' objects}
     6321    0.014    0.000    0.014    0.000 {method 'seek' of '_io.BufferedReader' objects}
     2106    0.014    0.000    0.024    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:330(chunk_IHDR)
     8424    0.014    0.000    0.020    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:67(<listcomp>)
     8424    0.013    0.000    0.013    0.000 {method 'getcolors' of 'ImagingCore' objects}
     2106    0.013    0.000    0.029    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1347(findCaller)
     8424    0.013    0.000    0.018    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\random.py:220(_randbelow)
     4212    0.012    0.000    0.026    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     8424    0.012    0.000    0.870    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:95(get_tile_colors)
     2673    0.011    0.000    0.029    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:138(crc)
     2107    0.011    0.000    0.256    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:78(__init__)
     5346    0.011    0.000    0.011    0.000 {built-in method PIL._imaging.crc32}
     8019    0.011    0.000    0.021    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1515(isEnabledFor)
     8424    0.011    0.000    0.035    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1115(getcolors)
     2120    0.011    0.000    0.011    0.000 {built-in method builtins.sorted}
    13195    0.011    0.000    0.011    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:59(<listcomp>)
     8019    0.010    0.000    0.010    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1501(getEffectiveLevel)
     2106    0.009    0.000    0.009    0.000 {built-in method time.localtime}
     2106    0.009    0.000    0.068    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:554(format)
     2106    0.009    0.000    0.039    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:487(formatTime)
     4212    0.009    0.000    0.009    0.000 {built-in method _codecs.charmap_encode}
     2106    0.009    0.000    0.009    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:382(format)
     8424    0.008    0.000    0.008    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:34(<listcomp>)
     2106    0.008    0.000    0.210    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1471(callHandlers)
     2106    0.008    0.000    0.109    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1377(makeRecord)
     2106    0.008    0.000    0.361    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:1392(_log)
     7278    0.008    0.000    0.008    0.000 {built-in method builtins.getattr}
     2106    0.007    0.000    0.082    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:957(flush)
     2107    0.007    0.000    0.009    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\ntpath.py:120(splitdrive)
     4779    0.007    0.000    0.007    0.000 {method 'decode' of 'bytes' objects}
     2106    0.007    0.000    0.186    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:968(emit)
     2106    0.007    0.000    0.010    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:614(load_end)
     2106    0.007    0.000    0.007    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:345(chunk_IDAT)
     2106    0.007    0.000    0.014    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:282(__init__)
    14743    0.006    0.000    0.006    0.000 {method 'copy' of 'dict' objects}
     2106    0.006    0.000    0.012    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\genericpath.py:111(_splitext)
      343    0.006    0.000    0.006    0.000 {built-in method _codecs.charmap_decode}
        1    0.006    0.006    0.063    0.063 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:61(get_tiles)
     2106    0.006    0.000    0.007    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:118(getLevelName)
      567    0.006    0.000    0.034    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:302(chunk_iCCP)
     2106    0.005    0.000    0.007    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:99(__init__)
     2106    0.005    0.000    0.201    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\logging\__init__.py:842(handle)
     2107    0.005    0.000    0.006    0.000 {method 'sort' of 'list' objects}
     4212    0.005    0.000    0.014    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\encodings\cp1252.py:18(encode)
     2107    0.005    0.000    0.005    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\BmpImagePlugin.py:54(_accept)
     2107    0.005    0.000    0.012    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:410(_getdecoder)
     8424    0.005    0.000    0.018    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:136(isImageType)
    13195    0.005    0.000    0.005    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:53(<listcomp>)
    15884    0.005    0.000    0.005    0.000 {method 'getrandbits' of '_random.Random' objects}
