Sun Dec 18 16:32:28 2016    ./stats/stats_2_win

         1282713854 function calls (1282713516 primitive calls) in 1338.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
568181952  370.402    0.000  370.402    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:299(<genexpr>)
142045488  368.984    0.000  794.600    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:294(hex2rgb)
 71022744  197.174    0.000 1028.061    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:280(difference)
     2106  142.240    0.068 1224.689    0.582 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\MosaicWorker.py:108(get_match)
    49876   69.850    0.001   69.850    0.001 {method 'decode' of 'ImagingDecoder' objects}
142045489   45.493    0.000   45.493    0.000 {method 'lstrip' of 'str' objects}
 71044007   43.292    0.000   43.292    0.000 {method 'get' of 'lxml.etree._Element' objects}
 71074688   36.307    0.000   36.307    0.000 {built-in method math.sqrt}
     2106   21.942    0.010   21.942    0.010 {method 'resize' of 'ImagingCore' objects}
     2108   15.225    0.007   15.225    0.007 {built-in method io.open}
142089769/142089754    9.727    0.000    9.727    0.000 {built-in method builtins.len}
 71105651    5.944    0.000    5.944    0.000 {method 'append' of 'list' objects}
  2032290    4.094    0.000    4.094    0.000 {method 'getchildren' of 'lxml.etree._Element' objects}
   162431    2.788    0.000    2.788    0.000 {method 'read' of '_io.BufferedReader' objects}
    10530    0.564    0.000   96.253    0.009 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\Image.py:1775(thumbnail)
     6318    0.258    0.000   73.599    0.012 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\ImageFile.py:120(load)
    49876    0.211    0.000    3.383    0.000 C:\Users\Lila\AppData\Local\Programs\Python\Python35\lib\site-packages\PIL\PngImagePlugin.py:588(load_read)
     8424    0.192    0.000    0.741    0.000 C:\Users\Lila\photo_mosaic\sources\photo_mosaic_maker\MosaicBuilder\Cluster.py:63(kmeans)
